location,population,HighestInfectionCount,PercentPopulationInfected
Bhutan,777486.0,992.0,7.97043290811667
Azerbaijan,10312992.0,9957.0,7.96240315128723
World,7909295152.0,9969995.0,7.7950689176658
Kazakhstan,19196465.0,999374.0,7.72752170777276
Libya,6735277.0,99935.0,7.52739642333938
Fiji,924610.0,970.0,7.37976011507555
Samoa,218764.0,9592.0,7.27953410981697
South Africa,59392255.0,994911.0,6.7653635983345
Namibia,2530151.0,99808.0,6.68944264591323
Wallis and Futuna,11627.0,90.0,6.54511051862045
Thailand,71601103.0,99145.0,6.53686857310005
Guatemala,17608483.0,997980.0,6.37486488756584
Eswatini,1192271.0,9943.0,6.15547975250593
Dominican Republic,11117874.0,99898.0,5.79567640360018
Vatican,511.0,9.0,5.67514677103718
Iraq,43533592.0,99865.0,5.65076734306694
Ecuador,17797737.0,998202.0,5.63991927737779
Mexico,126705138.0,997393.0,5.58938186074191
Upper middle income,2501427940.0,9950978.0,5.50841528539095
Jamaica,2827694.0,9959.0,5.36801365352828
Honduras,10278346.0,99576.0,4.44031559163313
Asia,4693235454.0,99896.0,3.94358703742972
Vanuatu,319136.0,95.0,3.74448510979645
Philippines,113880328.0,997523.0,3.46254095790802
Morocco,37076584.0,99816.0,3.41164115874321
Nepal,30034989.0,999687.0,3.32840807765903
El Salvador,6314167.0,998.0,3.19575012824336
India,1407563842.0,9979447.0,3.16741299184353
Kyrgyzstan,6527743.0,99845.0,3.1570329898098
Sri Lanka,21773441.0,99518.0,3.08058335841358
Solomon Islands,707851.0,9851.0,3.04357838019583
Laos,7425058.0,99396.0,2.90665742947732
Lower middle income,3363196660.0,997091.0,2.85489198838584
Sao Tome and Principe,223107.0,999.0,2.79238213054723
Kiribati,128874.0,913.0,2.66151434734702
Indonesia,273753191.0,999256.0,2.34801427392311
Saudi Arabia,35950396.0,98869.0,2.27052297282066
Gabon,2341179.0,9899.0,2.07976408467699
Venezuela,28199866.0,99835.0,1.93152336255782
Timor,1320942.0,9997.0,1.76033467025804
Zambia,19473125.0,9981.0,1.71263215328819
Zimbabwe,15993524.0,99944.0,1.60945767799517
Lesotho,2281454.0,9965.0,1.51175522276583
Djibouti,1105557.0,999.0,1.41919412567602
Mauritania,4614974.0,9876.0,1.36083106860407
Bangladesh,169356251.0,989219.0,1.19500165364431
Myanmar,53798084.0,9991.0,1.15696127765442
Equatorial Guinea,1634466.0,9939.0,1.04070687307047
Comoros,821626.0,995.0,1.03100437425301
Rwanda,13461888.0,99978.0,0.984416153217142
Africa,1392394303.0,9980.0,0.887255353844981
Cambodia,16589023.0,9975.0,0.831037487861702
Mozambique,32077072.0,99412.0,0.717705780627359
Uzbekistan,34081449.0,99844.0,0.716477753043892
Pakistan,231402116.0,998609.0,0.679514097442393
Kenya,53005614.0,99983.0,0.63846067324114
Algeria,44177969.0,99897.0,0.612662841064513
Senegal,16876720.0,9961.0,0.523638479514977
Ghana,32833031.0,99160.0,0.515030123170779
Afghanistan,40099462.0,996.0,0.495956778671993
Gambia,2639916.0,9998.0,0.473802954336426
Egypt,109262178.0,99863.0,0.471933663998534
Papua New Guinea,9949437.0,9952.0,0.452166288404057
Togo,8644829.0,9992.0,0.45121771639439
Cameroon,27198628.0,996.0,0.447272560954178
Malawi,19889742.0,9991.0,0.442464261225711
Guinea-Bissau,2060721.0,990.0,0.426840896948204
Congo,5835806.0,9681.0,0.425596738479655
Ethiopia,120283026.0,99982.0,0.410328054101333
Burundi,12551213.0,986.0,0.399395660005133
Uganda,45853778.0,9945.0,0.369426484334617
Low income,701926970.0,9954.0,0.319584671322716
Cote d'Ivoire,27478249.0,9992.0,0.31719270030634
Angola,34503774.0,99761.0,0.298897737969186
Haiti,11447569.0,9999.0,0.294673917230811
Eritrea,3620312.0,9995.0,0.280887393130758
Guinea,13531906.0,9979.0,0.278246094822119
Central African Republic,5457154.0,962.0,0.273274311115281
Syria,21324367.0,999.0,0.268650412929022
Madagascar,28915653.0,975.0,0.230587910292048
Nicaragua,6850540.0,9732.0,0.219982658301389
Benin,12996895.0,96.0,0.212650790823501
Tajikistan,9750064.0,9974.0,0.182419315401417
Tuvalu,11204.0,8.0,0.178507675830061
South Sudan,10748272.0,9969.0,0.165822003760232
Somalia,17065581.0,997.0,0.159467175480284
Liberia,5193416.0,998.0,0.15329024287675
Mali,21904983.0,9998.0,0.148925018567693
Sudan,45657202.0,9997.0,0.138609019448892
Nigeria,213401323.0,99063.0,0.124327251710619
Macao,686607.0,98.0,0.115495472664858
Burkina Faso,22100683.0,9967.0,0.097874803235719
Democratic Republic of Congo,95894118.0,9994.0,0.096827628155462
Sierra Leone,8420641.0,969.0,0.0920476244029404
China,1425893464.0,99980.0,0.069403852741133
Tanzania,63588334.0,94.0,0.0618682665911644
Chad,17179740.0,998.0,0.0441392011753379
Niger,25252722.0,980.0,0.0372435098283662
Yemen,32981641.0,9995.0,0.0361867985889483
North Korea,25971909.0,1.0,3.85031381405194e-06
Guam,170534.0,,0.0
Guernsey,63065.0,,0.0
Jersey,109618.0,,0.0
Niue,1937.0,,0.0
Northern Mariana Islands,49481.0,,0.0
Pitcairn,47.0,,0.0
Puerto Rico,3256028.0,,0.0
Sint Maarten (Dutch part),44042.0,,0.0
Tokelau,1849.0,,0.0
Turkmenistan,6341855.0,,0.0
United States Virgin Islands,100091.0,,0.0
Western Sahara,565581.0,,0.0
International,,721.0,0
Northern Cyprus,,,0
